task,recording,gt_az,srp_global,srp_circ_std,srp_peak_width,n_windows,vad_active,err_srp,emb_reg,err_emb_reg
task1,recording1,148.28784440691015,-80,66.56025265989265,30,9,68.56299009492365,131.71215559308985,140.77279727489335,7.515047132016804
task1,recording2,34.50497594469885,35,48.615241302717166,36,17,67.0915402495718,0.4950240553011511,126.79218632108267,92.28721037638383
task1,recording3,77.03788878006672,81,52.44735917792754,38,20,67.57589380156548,3.962111219933277,108.27565229523867,31.23776351517195
task2,recording1,64.25487324971257,-16,47.73464353710919,42,15,46.80525438967633,80.25487324971257,81.1882426175865,16.933369367873922
task2,recording1,79.67607226496872,86,53.64846161897531,38,19,63.88433467315422,6.323927735031276,65.23630739269598,14.439764872272747
task2,recording3,67.56001904270302,128,64.51396178016556,25,21,69.74687701050826,60.43998095729698,77.49978821859823,9.939769175895208
task2,recording3,48.10946266205865,128,64.46759688063561,25,18,62.30699120737723,79.89053733794135,83.40358907166947,35.294126409610826
task2,recording3,105.1153242965205,128,59.54123568618884,25,15,53.35620844949604,22.884675703479502,59.53279778528772,45.58252651123278
task3,recording1,100.08229511618579,124,132.4924929371327,25,64,55.654777341186026,23.91770488381421,116.50335446042482,16.421059344239026
task3,recording2,103.43720532899131,-55,117.58373758737584,43,83,68.62500738058218,158.4372053289913,107.55911593923302,4.121910610241713
task3,recording3,102.78663189832382,-56,103.98067753064542,42,66,58.51715206962089,158.78663189832383,125.20241691963997,22.415785021316154
task4,recording1,-82.87748842291386,-61,79.17742089190199,28,196,66.11096365375836,21.877488422913856,-96.21930368253969,13.341815259625832
task4,recording1,-91.98729903137271,-61,83.17322998894039,31,200,77.3930904158495,30.987299031372714,-85.19512569920136,6.792173332171359
task4,recording2,-113.35637684638385,144,82.69952406118956,54,169,56.153674216621255,102.64362315361615,-100.90874178853488,12.44763505784897
task4,recording2,-95.54251992426079,-85,81.4808088776861,51,165,54.96576709383515,10.542519924260787,-125.69164293196738,30.149123007706592
task4,recording3,-87.35785089140965,-61,90.11152050380488,24,187,65.02706295370042,26.357850891409655,-107.78375023118178,20.42589933977213
task4,recording3,-103.65506112565863,-61,82.05479095116124,24,193,66.89719397353045,42.655061125658634,-94.94919426421004,8.705866861448598
task5,recording1,165.33515490665113,-167,137.31532229414904,67,84,72.96865612463446,27.664845093348845,134.4427954954303,30.892359411220838
task5,recording2,129.6271421174533,-178,116.91965493409457,25,130,60.871342826386865,52.37285788254667,150.7912236799604,21.164081562507107
task5,recording3,153.1529805137569,175,105.0930489499873,62,91,44.253989899775895,21.847019486243113,141.3004632554765,11.852517258280386
task6,recording1,97.98109998983345,23,68.44396689229589,67,200,80.03362167500998,74.98109998983345,156.793527531073,58.81242754123956
task6,recording1,157.31432305459373,23,69.40962999456087,80,200,75.98484621583765,134.31432305459373,101.09501654343828,56.21930651115545
task6,recording2,48.57608990923878,12,140.73649501299863,31,196,65.50769987067503,36.57608990923878,136.09666151178467,87.52057160254589
task6,recording2,133.4616586279989,12,136.2550650694119,38,200,67.08003837347354,121.4616586279989,52.89211480298489,80.56954382501401
task6,recording3,142.31368949083114,18,109.94984580962749,42,200,77.92908429169375,124.31368949083114,157.13567777470178,14.821988283870638
task6,recording3,154.5378167118193,18,110.03773718041123,46,200,85.84238357444734,136.5378167118193,145.940194301109,8.5976224107103
